iter	RMSE
0	515940.8521
1	498373.1217
2	482468.6032
3	466597.2039
4	452030.7133
5	438706.4844
6	425699.2481
7	413624.258
8	402601.5756
9	391732.8684
10	381668.2725
11	372296.005
12	362922.5921
13	354690.4242
14	346094.8757
15	338308.4882
16	331237.5283
17	324687.1759
18	318265.4467
19	311703.6699
20	305360.8029
21	299672.2201
22	294533.7309
23	289473.6547
24	284507.1464
25	279847.5
26	274998.3973
27	269975.9688
28	266725.4169
29	263170.4637
30	259443.2028
31	255760.2262
32	253249.2504
33	250403.0037
34	247570.8516
35	244729.2351
36	241546.7403
37	238109.3821
38	237088.7757
39	236248.353
40	235463.247
41	234381.7627
42	232014.8605
43	231268.3256
44	230679.2882
45	229758.6691
46	227386.3048
47	226482.6996
48	223321.863
49	222680.1909
50	221970.1905
51	221493.4488
52	219982.2641
53	219307.0416
54	218507.0271
55	216757.0396
56	216318.5477
57	215708.0682
58	213415.3605
59	211353.1377
60	210636.6125
61	210250.1192
62	209707.4146
63	209239.9825
64	208201.3149
65	206353.7748
66	205752.9052
67	205390.3576
68	205108.1591
69	204776.5144
70	202509.6066
71	200329.9919
72	198568.3815
73	198196.3642
74	197630.8995
75	197290.1793
76	196217.8905
77	195945.9009
78	195678.1049
79	194268.8896
80	194014.8056
81	193788.7443
82	193394.4397
83	193113.5901
84	192063.2683
85	190794.0167
86	190325.9267
87	189429.2605
88	187992.6065
89	187551.7946
90	186533.7439
91	185391.2237
92	185067.7746
93	183703.3693
94	183464.0689
95	183238.7194
96	182918.1207
97	182012.6125
98	181778.8495
99	180428.0715
100	179824.3667
101	179471.9503
102	178447.559
103	177371.4149
104	177161.163
105	176428.4311
106	175536.6276
107	174798.2912
108	174494.455
109	173648.6161
110	173467.9124
111	172199.9937
112	171983.7513
113	171785.9948
114	171498.8192
115	170532.6168
116	169736.7383
117	169076.1834
118	168517.8098
119	168308.8748
120	168128.4021
121	167576.0584
122	167410.5719
123	166878.4311
124	166386.7712
125	165742.8516
126	165560.9227
127	165030.4609
128	164582.0041
129	164251.955
130	164087.2511
131	163505.1691
132	163320.8728
133	162937.4149
134	162743.6604
135	162250.1872
136	162096.6885
137	161296.5523
138	161136.7473
139	160960.0466
140	160821.2543
141	160647.529
142	160431.2673
143	160206.3617
144	159464.9949
145	159308.4106
146	159146.3463
147	159000.8446
148	158313.1774
149	158164.9381
150	157362.0987
151	156997.048
152	156871.3999
153	156726.0016
154	156591.4217
155	156199.7756
156	155899.0808
157	155533.2407
158	154997.9935
159	154864.6172
160	154457.7996
161	154317.5162
162	154022.6589
163	153531.9339
164	153376.4663
165	152971.2211
166	152726.3492
167	152606.5414
168	152484.3425
169	152368.0235
170	152232.5328
171	152120.6506
172	152011.8175
173	151345.9573
174	151030.9221
175	150671.7733
176	150567.6959
177	150461.1954
178	150361.5442
179	150264.2288
180	149936.4176
181	149553.7019
182	149461.4191
183	149362.673
184	149011.2835
185	148915.6993
186	148822.0133
187	148392.7097
188	148302.5241
189	148212.9946
190	147620.8919
191	147533.4523
192	147289.722
193	147201.7559
194	147117.9765
195	146919.1463
196	146462.5923
197	146377.2546
198	146106.7036
199	145625.1757
200	145462.6508
201	145324.5454
202	144763.0313
203	144679.8893
204	144598.9171
205	144454.5274
206	144176.914
207	144097.1108
208	144002.3861
209	143795.3342
210	143440.7146
211	143362.4817
212	143196.8918
213	143120.7301
214	143046.1267
215	142848.3585
216	142744.3237
217	142671.2751
218	142382.6166
219	142282.1434
220	142133.4311
221	141856.1937
222	141409.8454
223	141281.5538
224	140920.3871
225	140849.7573
226	140448.2331
227	140113.3048
228	140044.2489
229	139819.0379
230	139751.2671
231	139666.64
232	139402.1055
233	139335.6721
234	139243.2549
235	139178.0025
236	139053.2758
237	138989.4524
238	138768.8461
239	138682.7235
240	138480.3735
241	138143.4179
242	137905.1184
243	137842.9315
244	137765.8076
245	137704.8314
246	137378.2693
247	137318.3389
248	137137.047
249	136801.6295
250	136663.0297
251	136384.9335
252	136128.1663
253	136069.7318
254	135996.4333
255	135939.7297
256	135868.968
257	135711.8494
258	135494.353
259	135438.9238
260	134943.2462
261	134868.3293
262	134589.6079
263	134398.2737
264	134331.6174
265	134277.8516
266	134225.3284
267	134067.9653
268	133743.0181
269	133691.2587
270	133271.6805
271	133221.1617
272	133055.4115
273	132690.6349
274	132447.8017
275	132218.7945
276	132141.4435
277	132008.4251
278	131959.0288
279	131910.9157
280	131825.4962
281	131515.6166
282	131162.4302
283	131115.0541
284	130862.2757
285	130521.86
286	130221.3174
287	130018.2365
288	129971.5108
289	129775.6891
290	129711.681
291	129666.2728
292	129575.5151
293	129531.1125
294	129191.8517
295	129062.7548
296	129018.9479
297	128842.2712
298	128741.2244
299	128697.8185
300	128237.9895
301	128065.3345
302	127733.1023
303	127690.9513
304	127576.675
305	127535.5758
306	127270.4012
307	127123.5971
308	126803.2066
309	126706.8307
310	126666.4343
311	126402.6534
312	126249.9549
313	126124.4935
314	126084.7962
315	126022.9122
316	125761.9831
317	125723.0979
318	125286.8795
319	124998.0031
320	124959.8686
321	124733.1835
322	124611.2603
323	124574.0617
324	124305.0855
325	124268.7441
326	124175.6294
327	123952.6826
328	123916.6006
329	123805.0231
330	123593.3136
331	123444.3763
332	123354.3191
333	122940.5535
334	122753.2063
335	122695.1425
336	122660.5372
337	122535.085
338	122276.5135
339	122242.5067
340	122039.8648
341	121880.4488
342	121824.0786
343	121790.6809
344	121678.5289
345	121645.9227
346	121591.2137
347	121546.3218
348	121435.3429
349	121229.876
350	121012.6353
351	120741.6369
352	120703.9095
353	120667.1592
354	120433.3096
355	120215.5431
356	120145.4795
357	120050.5603
358	119918.891
359	119887.1697
360	119747.3359
361	119715.9632
362	119620.2303
363	119409.4876
364	119371.0092
365	119297.2574
366	119150.6276
367	119119.9341
368	119068.0857
369	118860.2321
370	118822.8558
371	118747.6399
372	118717.561
373	118687.8269
374	118648.701
375	118537.5238
376	118487.969
377	118351.7222
378	118203.2285
379	118166.6597
380	118034.3189
381	117963.2278
382	117757.7631
383	117577.0332
384	117547.8208
385	117519.1198
386	117487.197
387	117359.1915
388	117330.9684
389	117215.5824
390	117115.2032
391	116987.2394
392	116959.1836
393	116866.0578
394	116818.0253
395	116594.4888
396	116566.9221
397	116519.621
398	116452.6053
399	116276.9311
400	116249.955
401	116157.5811
402	116101.1876
403	116037.9913
404	116011.3051
405	115894.2969
406	115767.105
407	115593.3338
408	115375.1023
409	115330.1964
410	115303.8148
411	115090.3565
412	114925.7925
413	114817.9198
414	114621.8356
415	114579.7793
416	114553.8155
417	114477.004
418	114451.8215
419	114419.3054
420	114333.3365
421	114123.5905
422	114070.3777
423	114045.2834
424	114021.0203
425	113846.9947
426	113748.846
427	113724.9582
428	113684.5904
429	113626.7351
430	113461.883
431	113356.2179
432	113244.9621
433	113221.3109
434	113166.0134
435	113017.6673
436	112993.5862
437	112787.3328
438	112764.2345
439	112716.9016
440	112603.033
441	112564.484
442	112541.6939
443	112519.246
444	112485.9391
445	112341.2119
446	112318.0484
447	112253.825
448	112225.4769
449	112161.3044
450	112109.6023
451	112080.0347
452	112048.2726
453	111998.1787
454	111828.1305
455	111803.4748
456	111779.6848
457	111745.6149
458	111663.1054
459	111640.4862
460	111618.3428
461	111567.1117
462	111544.3421
463	111521.9386
464	111499.9485
465	111479.2075
466	111457.8425
467	111324.3085
468	111157.5111
469	111045.5864
470	110940.5903
471	110817.0957
472	110796.3356
473	110775.9936
474	110703.5705
475	110591.1944
476	110571.2786
477	110534.3641
478	110411.5295
479	110392.8005
480	110373.5827
481	110310.4425
482	110275.8411
483	110101.8157
484	110048.5098
485	109835.5782
486	109739.9704
487	109692.7563
488	109620.8907
489	109601.0948
490	109392.3474
491	109294.5798
492	109264.0894
493	109244.8573
494	109104.6619
495	109085.2765
496	109011.9123
497	108993.2305
498	108898.8565
499	108760.7128
500	108710.7124
501	108619.6377
502	108573.7671
503	108477.1031
504	108260.6082
505	108157.4683
506	108038.5587
507	108019.7853
508	107968.36
509	107893.452
510	107825.1043
511	107634.7613
512	107616.2375
513	107465.4126
514	107430.4185
515	107254.2691
516	107207.855
517	107131.6591
518	107042.8269
519	106998.0099
520	106944.4921
521	106805.312
522	106751.0006
523	106681.4812
524	106663.5503
525	106630.9228
526	106513.7422
527	106458.0473
528	106378.7807
529	106294.9177
530	106216.6324
531	106022.1985
532	105971.3939
533	105934.5106
534	105842.1189
535	105769.4981
536	105751.8318
537	105617.1604
538	105567.7341
539	105526.4757
540	105441.9581
541	105402.0848
542	105384.769
543	105274.4616
544	105112.1769
545	105070.4766
546	105000.995
547	104983.7881
548	104919.9691
549	104903.2103
550	104802.8634
551	104786.5256
552	104727.8157
553	104605.4624
554	104501.6435
555	104485.293
556	104435.5903
557	104397.9926
558	104347.6982
559	104298.2043
560	104170.8086
561	104064.4301
562	103981.8784
563	103907.6649
564	103871.5812
565	103832.1706
566	103764.4304
567	103700.3059
568	103654.1469
569	103638.1346
570	103604.0426
571	103494.8685
572	103343.1175
573	103283.4471
574	103165.5116
575	103080.8111
576	103032.586
577	102949.6771
578	102917.313
579	102901.7535
580	102782.7342
581	102735.4657
582	102691.1334
583	102659.7619
584	102644.2804
585	102504.9369
586	102455.0494
587	102412.6844
588	102347.473
589	102249.0565
590	102209.3508
591	102147.118
592	102131.8588
593	102116.938
594	102080.4861
595	102039.1859
596	101922.8451
597	101876.1514
598	101822.708
599	101787.7167
600	101653.0857
601	101638.3134
602	101583.762
603	101552.0666
604	101518.0485
605	101454.8589
606	101366.5835
607	101336.9864
608	101279.3124
609	101175.0546
610	101145.9133
611	101079.4753
612	100970.5127
613	100954.386
614	100925.9462
615	100892.7942
616	100794.9056
617	100762.0077
618	100737.211
619	100673.2355
620	100658.8825
621	100627.4748
622	100595.8309
623	100581.6622
624	100498.7228
625	100425.4206
626	100377.0204
627	100245.0224
628	100178.4679
629	100144.1863
630	100049.9975
631	100024.1731
632	99999.84289
633	99977.54775
634	99949.08782
635	99933.83555
636	99904.13723
637	99886.87445
638	99804.76729
639	99791.05841
640	99746.96152
641	99724.51137
642	99685.69972
643	99671.00982
644	99657.6852
645	99634.06908
646	99556.97175
647	99543.75404
648	99485.67105
649	99471.54469
650	99339.84946
651	99251.89918
652	99158.14194
653	99080.44243
654	99022.76611
655	98971.52979
656	98958.53621
657	98911.06227
658	98843.16482
659	98830.34695
660	98766.81093
661	98685.94155
662	98642.21573
663	98607.35074
664	98594.6036
665	98565.32259
666	98532.77019
667	98513.16499
668	98478.98081
669	98435.79503
670	98423.24473
671	98410.89451
672	98354.48262
673	98276.63719
674	98233.54338
675	98221.18915
676	98209.09013
677	98161.27835
678	98139.53818
679	98084.72198
680	98044.31627
681	98032.36737
682	97967.27788
683	97934.80867
684	97909.98472
685	97844.85701
686	97813.2558
687	97801.34287
688	97762.00541
689	97750.32462
690	97677.90612
691	97583.5136
692	97546.35524
693	97518.22951
694	97457.75911
695	97446.16736
696	97373.11349
697	97333.86199
698	97251.79018
699	97142.14282
700	97112.4933
701	97101.03086
702	96948.56917
703	96852.93136
704	96777.65898
705	96729.47693
706	96689.02488
707	96646.22661
708	96605.68174
709	96594.33583
710	96555.34845
711	96544.23421
712	96475.80863
713	96408.51713
714	96384.12685
715	96316.74087
716	96268.4352
717	96232.29129
718	96209.12071
719	96089.75332
720	96062.51701
721	96051.32661
722	96021.22165
723	96003.11035
724	95992.46173
725	95900.93266
726	95854.73923
727	95843.98727
728	95782.98279
729	95709.52556
730	95691.80623
731	95645.92463
732	95599.29406
733	95588.64892
734	95535.6794
735	95438.34876
736	95411.4828
737	95327.21741
738	95314.36734
739	95215.77187
740	95170.65268
741	95150.0972
742	95057.57067
743	94977.21288
744	94936.36156
745	94925.66992
746	94910.65352
747	94900.20581
748	94797.78327
749	94750.46138
750	94679.79126
751	94636.21775
752	94596.13771
753	94562.07938
754	94497.13521
755	94487.19834
756	94430.57542
757	94327.13163
758	94306.20822
759	94238.08365
760	94074.81071
761	94064.57785
762	94025.49109
763	94006.7735
764	93970.39967
765	93945.21615
766	93911.46214
767	93813.46939
768	93788.98555
769	93752.46814
770	93691.54408
771	93652.30789
772	93596.86546
773	93587.08537
774	93569.95245
775	93485.40097
776	93471.60321
777	93406.71714
778	93397.12976
779	93305.76474
780	93269.57621
781	93260.09963
782	93189.66935
783	93180.08427
784	93163.07409
785	93153.65533
786	93129.77709
787	93108.98401
788	93077.23761
789	93037.57618
790	93003.10708
791	92935.35283
792	92860.0016
793	92789.88723
794	92684.09524
795	92656.08344
796	92617.10503
797	92607.89025
798	92598.53414
799	92550.23936
800	92494.2754
801	92404.92745
802	92390.7653
803	92356.14619
804	92322.23216
805	92287.89992
806	92248.78585
807	92206.98875
808	92137.4259
809	92121.91058
810	92107.82258
811	92098.92735
812	92046.29936
813	92017.86087
814	91947.1174
815	91915.55674
816	91849.92697
817	91807.02131
818	91756.62783
819	91747.8771
820	91718.02629
821	91703.21664
822	91679.04221
823	91627.63545
824	91582.85997
825	91543.59722
826	91534.94734
827	91483.6441
828	91425.5601
829	91416.99761
830	91404.03877
831	91342.79601
832	91270.39091
833	91261.94728
834	91233.08423
835	91189.53318
836	91145.00413
837	91076.23263
838	91056.76334
839	91027.28617
840	91018.9869
841	90938.41337
842	90925.70959
843	90899.36582
844	90861.02146
845	90827.36904
846	90819.17377
847	90764.46033
848	90711.4858
849	90703.01441
850	90659.57989
851	90611.204
852	90566.8661
853	90547.10071
854	90522.60105
855	90469.40279
856	90450.51369
857	90373.40788
858	90317.55739
859	90232.94512
860	90173.55965
861	90122.56144
862	90103.94602
863	90090.62919
864	90082.57165
865	90060.31758
866	90043.89623
867	90035.98299
868	89984.35401
869	89976.5825
870	89928.96221
871	89917.36817
872	89891.42883
873	89883.47813
874	89857.02042
875	89809.34807
876	89747.34691
877	89721.24128
878	89693.12218
879	89685.56875
880	89611.20514
881	89574.08693
882	89555.47536
883	89472.11352
884	89464.41652
885	89444.29897
886	89412.32145
887	89391.33192
888	89352.07807
889	89311.73343
890	89282.93189
891	89256.22003
892	89220.84593
893	89205.03813
894	89185.12404
895	89149.94449
896	89123.38084
897	89073.88572
898	89057.24643
899	89005.54586
900	88998.17613
901	88940.49758
902	88881.54498
903	88874.28145
904	88861.6115
905	88806.83339
906	88790.38379
907	88783.24884
908	88756.26846
909	88686.23479
910	88628.4764
911	88621.39949
912	88586.68504
913	88559.73611
914	88500.87748
915	88436.64232
916	88415.74713
917	88375.36865
918	88239.88863
919	88214.38784
920	88207.36698
921	88200.46685
922	88145.47598
923	88114.03254
924	88103.39976
925	88069.38017
926	88039.45031
927	88032.64473
928	88019.18964
929	88010.13829
930	88000.01978
931	87955.97088
932	87885.87535
933	87865.99326
934	87842.04436
935	87791.45603
936	87784.39692
937	87757.17655
938	87725.18151
939	87649.69568
940	87616.47701
941	87575.86815
942	87551.41914
943	87497.02438
944	87490.42663
945	87428.18552
946	87386.36834
947	87340.55023
948	87318.84032
949	87275.81975
950	87268.85255
951	87251.69242
952	87226.67598
953	87202.72768
954	87195.85377
955	87182.72986
956	87123.00623
957	87059.07474
958	87039.49979
959	87026.78651
960	86993.94649
961	86970.91676
962	86945.01017
963	86938.6633
964	86926.83276
965	86883.45789
966	86855.57425
967	86801.83636
968	86775.78349
969	86743.49072
970	86726.679
971	86667.71354
972	86661.36946
973	86615.69085
974	86601.38552
975	86589.88796
976	86560.89347
977	86554.67178
978	86510.28087
979	86461.97811
980	86444.40662
981	86435.03756
982	86419.01774
983	86394.38344
984	86382.10553
985	86319.23286
986	86305.23557
987	86286.21077
988	86261.15958
989	86178.65926
990	86145.43428
991	86117.39536
992	86072.88879
993	86013.36238
994	85988.23359
995	85982.02275
996	85957.84245
997	85940.82086
998	85934.37289
999	85895.82705
