iter	Passed	Remaining
0	110	110044
1	116	58356
2	125	41642
3	131	32760
4	138	27523
5	145	24104
6	153	21710
7	160	19874
8	167	18396
9	174	17272
10	182	16419
11	189	15637
12	198	15049
13	208	14714
14	215	14148
15	222	13703
16	229	13276
17	236	12892
18	244	12618
19	252	12377
20	260	12123
21	266	11832
22	273	11612
23	281	11429
24	290	11316
25	297	11142
26	304	10981
27	312	10833
28	320	10747
29	328	10607
30	337	10562
31	351	10626
32	366	10728
33	375	10677
34	385	10634
35	392	10504
36	400	10428
37	407	10319
38	415	10250
39	423	10163
40	432	10111
41	438	9998
42	446	9927
43	452	9828
44	458	9724
45	465	9651
46	472	9581
47	479	9508
48	486	9444
49	493	9383
50	501	9324
51	507	9260
52	514	9201
53	523	9176
54	532	9145
55	541	9128
56	549	9089
57	558	9064
58	567	9045
59	578	9067
60	585	9012
61	592	8969
62	599	8919
63	608	8895
64	615	8849
65	622	8811
66	628	8758
67	636	8717
68	642	8662
69	647	8607
70	656	8584
71	662	8541
72	669	8504
73	675	8455
74	682	8420
75	688	8374
76	695	8335
77	702	8308
78	708	8258
79	716	8245
80	724	8221
81	732	8205
82	740	8184
83	749	8168
84	755	8134
85	764	8127
86	774	8123
87	781	8103
88	789	8079
89	797	8066
90	803	8027
91	810	7998
92	819	7987
93	826	7966
94	832	7934
95	838	7900
96	847	7885
97	853	7854
98	859	7822
99	866	7798
100	872	7769
101	879	7747
102	886	7721
103	894	7707
104	900	7676
105	907	7653
106	914	7632
107	922	7615
108	930	7604
109	937	7582
110	945	7569
111	955	7571
112	962	7557
113	971	7551
114	979	7539
115	989	7540
116	998	7537
117	1006	7525
118	1014	7509
119	1022	7499
120	1029	7482
121	1038	7471
122	1044	7448
123	1051	7425
124	1057	7404
125	1063	7379
126	1071	7364
127	1078	7345
128	1086	7333
129	1091	7307
130	1098	7284
131	1105	7267
132	1111	7244
133	1117	7224
134	1124	7205
135	1133	7201
136	1142	7195
137	1150	7186
138	1156	7163
139	1165	7157
140	1172	7145
141	1181	7136
142	1187	7117
143	1195	7108
144	1203	7097
145	1211	7088
146	1219	7076
147	1227	7066
148	1234	7051
149	1244	7053
150	1251	7039
151	1260	7034
152	1268	7024
153	1277	7019
154	1284	7004
155	1292	6994
156	1299	6976
157	1307	6970
158	1314	6955
159	1320	6934
160	1328	6922
161	1336	6911
162	1344	6901
163	1350	6882
164	1357	6870
165	1365	6860
166	1374	6854
167	1382	6844
168	1388	6826
169	1394	6809
170	1401	6796
171	1407	6777
172	1414	6762
173	1422	6750
174	1428	6732
175	1434	6714
176	1440	6698
177	1446	6679
178	1453	6665
179	1459	6648
180	1466	6634
181	1472	6619
182	1479	6603
183	1486	6592
184	1492	6574
185	1500	6564
186	1506	6550
187	1512	6533
188	1519	6521
189	1526	6508
190	1535	6505
191	1542	6490
192	1550	6482
193	1557	6472
194	1566	6468
195	1574	6460
196	1584	6458
197	1591	6445
198	1600	6441
199	1607	6429
200	1615	6422
201	1624	6418
202	1632	6407
203	1637	6391
204	1644	6379
205	1651	6364
206	1657	6348
207	1663	6333
208	1669	6319
209	1677	6309
210	1683	6294
211	1690	6283
212	1697	6272
213	1703	6258
214	1710	6244
215	1717	6232
216	1723	6218
217	1729	6203
218	1738	6198
219	1745	6189
220	1752	6178
221	1758	6164
222	1765	6152
223	1772	6141
224	1778	6126
225	1785	6115
226	1792	6104
227	1798	6091
228	1805	6078
229	1812	6066
230	1818	6052
231	1824	6040
232	1831	6029
233	1837	6014
234	1844	6004
235	1851	5992
236	1857	5979
237	1863	5965
238	1870	5955
239	1876	5941
240	1882	5929
241	1889	5917
242	1895	5904
243	1901	5891
244	1908	5879
245	1913	5866
246	1920	5854
247	1927	5845
248	1933	5832
249	1940	5822
250	1948	5814
251	1956	5807
252	1964	5799
253	1970	5787
254	1977	5776
255	1983	5765
256	1989	5753
257	1996	5743
258	2003	5732
259	2010	5721
260	2016	5709
261	2023	5700
262	2029	5688
263	2036	5676
264	2043	5668
265	2050	5658
266	2057	5647
267	2064	5637
268	2070	5627
269	2077	5615
270	2084	5606
271	2091	5597
272	2097	5586
273	2104	5576
274	2110	5564
275	2117	5555
276	2124	5544
277	2130	5533
278	2138	5525
279	2144	5513
280	2152	5507
281	2159	5497
282	2166	5488
283	2173	5479
284	2180	5470
285	2189	5465
286	2196	5455
287	2203	5446
288	2209	5434
289	2216	5427
290	2224	5420
291	2233	5415
292	2239	5404
293	2247	5397
294	2255	5389
295	2263	5384
296	2270	5374
297	2276	5363
298	2284	5355
299	2291	5345
300	2297	5336
301	2304	5326
302	2311	5317
303	2317	5305
304	2323	5295
305	2331	5286
306	2337	5277
307	2345	5269
308	2351	5259
309	2359	5251
310	2366	5242
311	2372	5230
312	2380	5223
313	2387	5216
314	2395	5209
315	2404	5204
316	2411	5195
317	2417	5184
318	2425	5176
319	2431	5165
320	2437	5155
321	2444	5147
322	2450	5136
323	2457	5127
324	2464	5118
325	2471	5109
326	2477	5098
327	2483	5088
328	2490	5079
329	2496	5068
330	2503	5060
331	2510	5051
332	2516	5040
333	2524	5033
334	2530	5023
335	2537	5015
336	2543	5004
337	2550	4995
338	2557	4986
339	2563	4975
340	2572	4971
341	2579	4962
342	2587	4955
343	2593	4945
344	2601	4938
345	2607	4928
346	2613	4918
347	2619	4907
348	2626	4899
349	2633	4890
350	2640	4881
351	2647	4874
352	2654	4865
353	2660	4854
354	2667	4847
355	2675	4839
356	2682	4832
357	2689	4822
358	2696	4814
359	2703	4806
360	2711	4799
361	2717	4788
362	2723	4779
363	2730	4771
364	2736	4760
365	2744	4753
366	2751	4745
367	2757	4735
368	2763	4725
369	2770	4716
370	2780	4714
371	2787	4705
372	2793	4696
373	2800	4687
374	2808	4681
375	2816	4673
376	2822	4664
377	2829	4655
378	2836	4647
379	2842	4638
380	2849	4628
381	2856	4621
382	2863	4613
383	2870	4603
384	2876	4594
385	2883	4586
386	2889	4576
387	2896	4568
388	2903	4560
389	2909	4551
390	2916	4542
391	2922	4533
392	2928	4523
393	2935	4515
394	2942	4506
395	2948	4497
396	2954	4488
397	2961	4480
398	2968	4472
399	2974	4462
400	2982	4454
401	2990	4448
402	2997	4440
403	3003	4431
404	3011	4423
405	3019	4417
406	3025	4408
407	3032	4399
408	3039	4391
409	3046	4384
410	3052	4374
411	3059	4366
412	3066	4358
413	3072	4348
414	3080	4342
415	3087	4334
416	3094	4326
417	3101	4318
418	3108	4310
419	3115	4301
420	3122	4293
421	3128	4285
422	3136	4277
423	3143	4270
424	3149	4261
425	3156	4252
426	3162	4244
427	3172	4239
428	3182	4236
429	3192	4232
430	3204	4230
431	3214	4225
432	3222	4219
433	3229	4212
434	3237	4204
435	3243	4195
436	3249	4186
437	3256	4179
438	3262	4169
439	3270	4162
440	3276	4153
441	3283	4144
442	3289	4135
443	3295	4127
444	3304	4121
445	3310	4111
446	3317	4104
447	3324	4095
448	3329	4086
449	3337	4079
450	3343	4070
451	3350	4062
452	3356	4053
453	3364	4046
454	3371	4038
455	3377	4029
456	3385	4022
457	3453	4086
458	3462	4080
459	3472	4076
460	3479	4068
461	3486	4059
462	3492	4050
463	3500	4043
464	3508	4036
465	3515	4028
466	3524	4022
467	3533	4016
468	3547	4016
469	3558	4013
470	3568	4008
471	3581	4006
472	3606	4017
473	3621	4018
474	3631	4013
475	3642	4010
476	3654	4006
477	3670	4008
478	3704	4028
479	3712	4021
480	3721	4015
481	3729	4008
482	3739	4002
483	3747	3995
484	3754	3987
485	3762	3979
486	3770	3972
487	3777	3963
488	3784	3954
489	3790	3944
490	3797	3937
491	3803	3927
492	3810	3918
493	3817	3910
494	3825	3902
