iter	Logloss
0	0.6485781558
1	0.6071558086
2	0.5710566567
3	0.5381304937
4	0.5084476346
5	0.481108073
6	0.4570115346
7	0.4348633647
8	0.4155099587
9	0.3978049735
10	0.3807893248
11	0.3659462222
12	0.3518311129
13	0.3390598203
14	0.3276784158
15	0.3173343092
16	0.3080105986
17	0.2993955186
18	0.2911155417
19	0.284129462
20	0.2783183843
21	0.2726111625
22	0.2674299296
23	0.2624876225
24	0.2580127157
25	0.2539584261
26	0.2502443611
27	0.2466366461
28	0.2433699747
29	0.2404260054
30	0.2375895006
31	0.2350345188
32	0.2325565528
33	0.2301446757
34	0.2280487287
35	0.226046604
36	0.2242651032
37	0.2225971393
38	0.2211302967
39	0.2195472994
40	0.2181182253
41	0.2168108328
42	0.2156231297
43	0.2144401331
44	0.2133561445
45	0.2123354317
46	0.2112834263
47	0.2103676054
48	0.2094413209
49	0.2085547333
50	0.2077312876
51	0.2069406881
52	0.2061460219
53	0.205246883
54	0.2045542237
55	0.2039650607
56	0.2033296525
57	0.2026782949
58	0.2021287053
59	0.2015409432
60	0.2009983723
61	0.2004685469
62	0.1998524054
63	0.1990622089
64	0.1985790056
65	0.1980768202
66	0.1975567063
67	0.1971331345
68	0.1967049593
69	0.1962576227
70	0.1958450635
71	0.1953509808
72	0.1949161078
73	0.1945072104
74	0.194057713
75	0.1936039701
76	0.1930899292
77	0.1926979659
78	0.1923254943
79	0.1919997598
80	0.1916588774
81	0.1912215799
82	0.1909235912
83	0.1905192028
84	0.1902139191
85	0.1898677037
86	0.1895416052
87	0.1892514619
88	0.1889484782
89	0.1886494271
90	0.1883452161
91	0.1878620848
92	0.1874076685
93	0.18709729
94	0.1867996578
95	0.1864198483
96	0.1861261467
97	0.1857785772
98	0.1855012531
99	0.1851466319
100	0.1848855198
101	0.1846280778
102	0.1843641906
103	0.1841200716
104	0.1838759675
105	0.1836528332
106	0.1834040866
107	0.1831671888
108	0.1829074474
109	0.1826686951
110	0.1824356667
111	0.1822219101
112	0.1819656206
113	0.1817397113
114	0.1814824935
115	0.1811613719
116	0.1809075276
117	0.1806994707
118	0.1804658991
119	0.1801624561
120	0.1798609393
121	0.1795709925
122	0.179327785
123	0.1791303121
124	0.1789073201
125	0.1786223832
126	0.1784030655
127	0.1781693305
128	0.177794417
129	0.1775764251
130	0.1774003762
131	0.1772173451
132	0.1770221848
133	0.1768007327
134	0.1765672125
135	0.1763431584
136	0.1761364374
137	0.1759051359
138	0.1756882607
139	0.1755009574
140	0.1752790973
141	0.1750655574
142	0.1748956462
143	0.1744949729
144	0.1743140283
145	0.1741400225
146	0.17396137
147	0.1737692554
148	0.1735811301
149	0.1734038741
150	0.1732302452
151	0.1730388794
152	0.1728436159
153	0.1726656173
154	0.1724235881
155	0.1722304117
156	0.1720442117
157	0.1718692259
158	0.1716546348
159	0.1714829981
160	0.1713159989
161	0.171150458
162	0.1709917412
163	0.1708214981
164	0.1706707584
165	0.1705000347
166	0.1703564986
167	0.1701122663
168	0.1699532503
169	0.1698054706
170	0.1696264264
171	0.1694201305
172	0.1692744993
173	0.1691305281
174	0.1687675708
175	0.1686161787
176	0.1682579885
177	0.1680545023
178	0.1678327645
179	0.1676867385
180	0.167488686
181	0.1673206707
182	0.1671816162
183	0.1670464282
184	0.1668753066
185	0.1667028583
186	0.1665710566
187	0.1664178199
188	0.1662642892
189	0.1661190343
190	0.1659580424
191	0.165805828
192	0.1656520865
193	0.1655315804
194	0.1653499577
195	0.1651882009
196	0.1650666862
197	0.1649422648
198	0.1648181737
199	0.1646768892
200	0.1645471066
201	0.1643975233
202	0.1642595652
203	0.1641064961
204	0.1639722592
205	0.1638096651
206	0.1636461744
207	0.1635159591
208	0.163371638
209	0.1632346802
210	0.1630712033
211	0.1629486348
212	0.1628318914
213	0.1627216464
214	0.1625981432
215	0.1624653301
216	0.1623344904
217	0.1621692848
218	0.1620436781
219	0.1619208197
220	0.1618054265
221	0.1616989285
222	0.1615697964
223	0.1614061455
224	0.1612976199
225	0.1611773974
226	0.1610657435
227	0.1609042578
228	0.1607579772
229	0.1606464212
230	0.1605101574
231	0.1603522239
232	0.1600411687
233	0.1599301327
234	0.1597935301
235	0.1596515992
236	0.1595203103
237	0.1594003304
238	0.1592893661
239	0.1591699676
240	0.1590587768
241	0.1589526402
242	0.1588365171
243	0.1586940952
244	0.1585757899
245	0.1584431147
246	0.1583381588
247	0.1581852824
248	0.1580390239
249	0.1579326852
250	0.157817554
251	0.1576961701
252	0.1575453841
253	0.157310753
254	0.1571700263
255	0.157071894
256	0.1569375615
257	0.1568325472
258	0.1567297137
259	0.1566213213
260	0.1565014573
261	0.1564012524
262	0.1562991805
263	0.1560758174
264	0.155978565
265	0.1558691684
266	0.1557387586
267	0.1556433295
268	0.1555315464
269	0.155429025
270	0.1553286212
271	0.1552258845
272	0.1551160921
273	0.1547777542
274	0.1545961762
275	0.1544799216
276	0.1543868403
277	0.1542549927
278	0.1541274071
279	0.1540230044
280	0.1539190368
281	0.1537756365
282	0.1535308015
283	0.1533854174
284	0.1532834709
285	0.1531818976
286	0.1530724603
287	0.1529407394
288	0.1527972209
289	0.1527050173
290	0.1525716555
291	0.1524504429
292	0.1523047586
293	0.1522099457
294	0.1520976784
295	0.15197566
296	0.1518866358
297	0.1517779319
298	0.1516612826
299	0.1515495155
300	0.1514635085
301	0.1513689651
302	0.1512641586
303	0.1510140158
304	0.1509100837
305	0.1507119035
306	0.1505851852
307	0.1505017303
308	0.1504236777
309	0.1502067941
310	0.1501112202
311	0.1499105678
312	0.1498006963
313	0.1496377601
314	0.1495554042
315	0.1494184384
316	0.1492747488
317	0.1492011432
318	0.1491094378
319	0.1489558159
320	0.1487063445
321	0.148580997
322	0.1485025222
323	0.1484207695
324	0.1483407712
325	0.148091457
326	0.1479640971
327	0.1478453252
328	0.1477448354
329	0.1475988967
330	0.1474195033
331	0.147316281
332	0.1472052194
333	0.1471141895
334	0.1470196558
335	0.1469406036
336	0.1468375754
337	0.1467176073
338	0.146641701
339	0.1465662698
340	0.1464814497
341	0.1463832981
342	0.1462876436
343	0.1462118764
344	0.1461394773
345	0.1459493471
346	0.1458596949
347	0.1457890153
348	0.1457150472
349	0.1456492489
350	0.1455293321
351	0.1454559713
352	0.145383204
353	0.1452031102
354	0.1451323631
355	0.1450060707
356	0.1449187963
357	0.1448238892
358	0.1447556248
359	0.1446832873
360	0.1446169493
361	0.1445494912
362	0.1444834276
363	0.1444146783
364	0.1442959336
365	0.1441913661
366	0.1441244433
367	0.1440295832
368	0.1439636365
369	0.1438951618
370	0.1438186513
371	0.1436941573
372	0.1435870764
373	0.1434743304
374	0.1434110526
375	0.143341016
376	0.1431872612
377	0.1431221852
378	0.1430573486
379	0.1429753253
380	0.1429110088
381	0.1427437827
382	0.1426511332
383	0.1425926701
384	0.1425299218
385	0.1424639108
386	0.1424055859
387	0.1423427593
388	0.1422337489
389	0.1421735934
390	0.1420540083
391	0.1419881636
392	0.1419317271
393	0.1418740207
394	0.1417954639
395	0.1417308944
396	0.1416081171
397	0.1415430621
398	0.1414822907
399	0.1413985633
400	0.1413408614
401	0.1412548352
402	0.1411954338
403	0.1411003014
404	0.1410419433
405	0.1409814938
406	0.1408990881
407	0.1408353107
408	0.1407704969
409	0.1407096103
410	0.1406040541
411	0.1405465287
412	0.1404851555
413	0.1404306358
414	0.1403214339
415	0.1402638847
416	0.1401847192
417	0.1401167118
418	0.1400320483
419	0.1399765473
420	0.1399168905
421	0.1398038768
422	0.1397206622
423	0.1396472062
424	0.1395862862
425	0.1395287011
426	0.1394343342
427	0.1393283828
428	0.1392648748
429	0.1392079652
430	0.1391513779
431	0.1390705794
432	0.1389796852
433	0.1389240028
434	0.1388077702
435	0.1387495928
436	0.1386379053
437	0.1385799526
438	0.1385235467
439	0.1384591817
440	0.1384007708
