iter	Passed	Remaining
0	648	647447
1	1068	533297
2	1469	488262
3	1865	464422
4	2321	461938
5	2734	453065
6	3151	447096
7	3556	440971
8	3956	435687
9	4355	431232
10	4760	427971
11	5165	425295
12	5571	423042
13	5972	420630
14	6374	418588
15	6906	424771
16	7333	424047
17	7757	423198
18	8312	429196
19	8713	426948
20	9122	425296
21	9523	423379
22	10071	427818
23	10563	429564
24	11068	431655
25	11546	432546
26	12043	434004
27	12568	436306
28	13097	438529
29	13807	446427
30	14247	445347
31	14640	442867
32	15054	441152
33	15446	438849
34	15835	436618
35	16331	437328
36	16815	437658
37	17201	435473
38	17710	436412
39	18353	440490
40	18939	443006
41	19371	441851
42	19786	440358
43	20252	440026
44	20653	438321
45	21063	436840
46	21476	435467
47	21890	434158
48	22300	432812
49	22706	431427
50	23118	430177
51	23536	429092
52	23952	427977
53	24351	426602
54	24761	425453
55	25268	425961
56	25692	425051
57	26103	423954
58	26569	423766
59	26984	422760
60	27409	421923
61	27861	421515
62	28471	423454
63	28891	422531
64	29307	421579
65	29725	420661
66	30159	419989
67	30554	418772
68	30977	417971
69	31387	416999
70	31802	416119
71	32228	415383
72	32625	414298
73	33056	413653
74	33534	413595
75	34001	413384
76	34404	412408
77	34806	411432
78	35256	411027
79	35673	410241
80	36091	409483
81	36497	408592
82	36913	407832
83	37344	407228
84	37800	406915
85	38226	406268
86	38766	406821
87	39280	407091
88	39795	407344
89	40207	406543
90	40712	406679
91	41137	406009
92	41602	405739
93	42033	405127
94	42767	407415
95	43258	407351
96	43773	407495
97	44214	406951
98	44631	406187
99	45062	405566
100	45578	405696
101	46013	405101
102	46441	404447
103	46948	404478
104	47509	404963
105	48013	404944
106	48466	404487
107	48950	404294
108	49424	404007
109	49875	403540
110	50311	402944
111	50758	402440
112	51200	401897
113	51640	401346
114	52089	400860
115	52514	400193
116	52963	399714
117	53410	399217
118	53864	398777
119	54299	398196
120	54739	397655
121	55185	397156
122	55640	396723
123	56099	396313
124	56534	395742
125	56994	395340
126	57446	394891
127	57882	394326
128	58310	393711
129	58739	393101
130	59182	392590
131	59614	392013
132	60063	391540
133	60493	390948
134	60951	390538
135	61423	390217
136	61873	389754
137	62334	389365
138	62862	389383
139	63417	389563
140	63860	389049
141	64292	388470
142	64729	387921
143	65182	387474
144	65733	387603
145	66176	387086
146	66612	386536
147	67087	386208
148	67535	385721
149	67982	385236
150	68418	384683
151	68867	384207
152	69312	383712
153	69766	383264
154	70213	382776
155	70656	382269
156	71111	381826
157	71560	381353
158	72010	380885
159	72399	380096
160	72820	379480
161	73260	378963
162	73694	378421
163	74108	377774
164	74511	377072
165	74945	376535
166	75363	375912
167	75898	375877
168	76318	375272
169	76740	374671
170	77163	374086
171	77589	373512
172	78020	372965
173	78423	372287
174	78854	371740
175	79320	371366
176	79755	370839
177	80183	370287
178	80595	369658
179	81046	369211
180	81469	368638
181	81897	368088
182	82311	367476
183	82727	366880
184	83156	366339
185	83585	365796
186	84013	365256
187	84420	364626
188	84859	364133
189	85294	363622
190	85717	363066
191	86167	362621
192	86572	361988
193	87000	361456
194	87434	360949
195	87857	360394
196	88305	359947
197	88729	359399
198	89160	358881
199	89591	358364
200	90016	357825
201	90433	357256
202	90865	356746
203	91310	356289
204	91743	355784
205	92168	355250
206	92588	354698
207	93012	354163
208	93446	353666
209	93873	353141
210	94291	352588
211	94723	352087
212	95180	351677
213	95666	351373
214	96236	351375
215	96662	350850
216	97090	350330
217	97515	349804
218	97951	349314
219	98372	348774
220	98806	348281
221	99245	347807
222	99683	347327
223	100119	346842
224	100527	346263
225	100972	345808
226	101424	345380
227	101856	344882
228	102280	344358
229	102708	343849
230	103142	343361
231	103568	342846
232	104011	342391
233	104423	341829
234	104905	341500
235	105335	341001
236	105763	340494
237	106200	340018
238	106631	339524
239	107070	339056
240	107507	338580
241	107945	338110
242	108369	337595
243	108802	337108
244	109241	336643
245	109681	336177
246	110121	335715
247	110548	335211
248	110977	334716
249	111430	334290
250	111865	333813
251	112288	333301
252	112720	332815
253	113164	332365
254	113589	331858
255	114024	331385
256	114441	330855
257	114871	330367
258	115312	329909
259	115751	329447
260	116187	328976
261	116722	328782
262	117158	328311
263	117608	327878
264	118050	327421
265	118476	326924
266	118912	326452
267	119353	325995
268	119803	325563
269	120236	325084
270	120669	324605
271	121157	324274
272	121624	323886
273	122063	323424
274	122498	322949
275	122938	322491
276	123376	322025
277	123821	321580
278	124253	321098
279	124689	320629
280	125136	320188
281	125583	319748
282	126036	319323
283	126456	318812
284	126920	318413
285	127368	317975
286	127825	317560
287	128259	317086
288	128702	316633
289	129159	316217
290	129614	315796
291	130063	315358
292	130488	314864
293	130937	314428
294	131384	313985
295	131849	313589
296	132289	313129
297	132728	312668
298	133182	312244
299	133637	311821
300	134114	311449
301	134593	311080
302	135049	310657
303	135509	310246
304	135955	309799
305	136393	309336
306	136957	309158
307	137410	308726
308	137856	308281
309	138299	307827
310	138737	307364
311	139187	306926
312	139606	306421
313	140023	305912
314	140432	305384
315	140851	304881
316	141287	304414
317	141704	303906
318	142180	303525
319	142646	303124
320	143101	302697
321	143532	302221
322	144003	301828
323	144412	301305
324	144812	300765
325	145193	300185
326	145612	299684
327	145992	299107
328	146424	298635
329	146816	298081
330	147226	297567
331	147721	297222
332	148260	296965
333	149058	297224
334	149767	297300
335	150293	297008
336	150762	296603
337	151246	296228
338	151711	295815
339	152161	295373
340	152637	294978
341	153119	294598
342	153591	294196
343	154079	293825
344	154522	293368
345	155034	293042
346	155694	292992
347	156217	292682
348	156819	292519
349	157324	292174
350	157869	291900
351	158369	291544
352	158810	291077
353	159252	290613
354	159679	290122
355	160107	289631
356	160526	289127
357	160974	288674
358	161420	288219
359	161843	287721
360	162255	287206
361	162689	286728
362	163116	286239
363	163561	285783
364	164006	285325
365	164481	284921
366	164997	284586
367	165562	284334
368	166075	283993
369	166534	283558
370	166991	283120
371	167434	282657
372	167907	282246
373	168332	281753
374	168793	281322
375	169253	280888
376	169807	280610
377	170256	280157
378	170734	279751
379	171190	279310
380	171616	278821
381	172067	278370
382	172491	277877
383	172964	277463
384	173402	276993
385	173846	276533
386	174275	276048
387	174700	275558
388	175157	275118
389	175616	274682
390	176210	274455
391	176643	273977
392	177089	273519
393	177528	273051
394	177975	272595
395	178406	272114
396	178848	271651
397	179303	271208
398	179799	270825
399	180247	270371
400	180689	269908
401	181144	269464
402	181593	269010
403	182033	268543
404	182457	268054
405	182914	267614
406	183364	267162
407	183819	266719
408	184248	266236
409	184692	265777
410	185151	265338
411	185605	264893
412	186046	264429
413	186469	263939
414	186928	263502
415	187370	263039
416	187836	262610
417	188270	262137
418	188727	261695
419	189170	261235
420	189623	260789
421	190067	260329
422	190509	259867
423	190989	259456
424	191453	259025
425	192018	258729
426	192461	258268
427	192932	257844
428	193409	257428
429	193852	256967
430	194280	256486
431	194743	256051
432	195259	255686
433	195707	255231
434	196158	254780
435	196617	254339
436	197075	253898
437	197525	253445
438	197982	253002
