iter	Logloss
0	0.6786136605
1	0.6647549219
2	0.6516394794
3	0.6390268287
4	0.6276330786
5	0.6165070778
6	0.6058680512
7	0.59589598
8	0.5868749591
9	0.5783109416
10	0.5703178131
11	0.5633816291
12	0.5559044241
13	0.549434372
14	0.5428949165
15	0.5370680502
16	0.5313610714
17	0.5258760364
18	0.5209799921
19	0.5161242726
20	0.5114937463
21	0.5067502715
22	0.5029011201
23	0.4990063549
24	0.4952180526
25	0.4918462105
26	0.4881616217
27	0.4853660138
28	0.4822080922
29	0.4790158912
30	0.4760494261
31	0.4733928991
32	0.4711249881
33	0.4687054768
34	0.4664572554
35	0.4646236054
36	0.4623374254
37	0.4603237211
38	0.4583521394
39	0.4566529875
40	0.4548239242
41	0.4527919413
42	0.45117029
43	0.4496058273
44	0.4480608029
45	0.4464781655
46	0.4450579347
47	0.4438519002
48	0.4427196701
49	0.4415092654
50	0.4402105082
51	0.4389542714
52	0.437930242
53	0.4368811146
54	0.4360883338
55	0.4350927373
56	0.4344703438
57	0.4335808617
58	0.4326313491
59	0.4320805585
60	0.4313598428
61	0.4304166022
62	0.4296707261
63	0.428814649
64	0.4279931454
65	0.4270928372
66	0.4263403361
67	0.4254769168
68	0.4248181508
69	0.4241970246
70	0.423593216
71	0.4228161419
72	0.4222421712
73	0.4217584714
74	0.4213898376
75	0.4208039689
76	0.4202670506
77	0.4197591407
78	0.4191845296
79	0.4188185385
80	0.4183163013
81	0.4179328761
82	0.4173658111
83	0.4168822077
84	0.416474451
85	0.4160331668
86	0.4156529381
87	0.41513906
88	0.4147191275
89	0.4143218065
90	0.413930627
91	0.4134907319
92	0.4130545458
93	0.4126800721
94	0.4123115208
95	0.4119313752
96	0.4115577793
97	0.4113142549
98	0.4109755801
99	0.4105608371
100	0.4102355974
101	0.4100931707
102	0.4098057773
103	0.4094252997
104	0.4091235963
105	0.408846265
106	0.4085671913
107	0.4082933426
108	0.4080056956
109	0.4076339641
110	0.4073018322
111	0.4070155513
112	0.4066426657
113	0.4064047963
114	0.4061219463
115	0.4058106848
116	0.4055081021
117	0.4051690879
118	0.404895663
119	0.4046686917
120	0.4043373098
121	0.4041293553
122	0.4038553941
123	0.4037221493
124	0.4034574708
125	0.4032543599
126	0.403061794
127	0.4028470867
128	0.4028001513
129	0.4025784826
130	0.4023560739
131	0.402076391
132	0.4018300528
133	0.4015963732
134	0.4013672197
135	0.4010848494
136	0.4007549167
137	0.4005281905
138	0.4003311391
139	0.4002797194
140	0.4001064562
141	0.3998458745
142	0.3996666074
143	0.3996416616
144	0.399412301
145	0.3992565227
146	0.3990499561
147	0.3988910652
148	0.3986670362
149	0.3984641506
150	0.3982967302
151	0.3980843314
152	0.397884124
153	0.3977851013
154	0.3975749829
155	0.3973063142
156	0.3970540463
157	0.3968406486
158	0.3966407742
159	0.3964965492
160	0.3962736943
161	0.3959839948
162	0.3957674838
163	0.3956047634
164	0.3953727845
165	0.395248688
166	0.3950427811
167	0.3949059027
168	0.3947978861
169	0.394687241
170	0.3945056083
171	0.3943678084
172	0.3942134598
173	0.3938769131
174	0.393790695
175	0.3935604419
176	0.3935558732
177	0.3933844729
178	0.3932472111
179	0.3932400149
180	0.3931042374
181	0.3930786188
182	0.3928603763
183	0.3926251412
184	0.3924605607
185	0.39234737
186	0.392213372
187	0.3920569915
188	0.3919196442
189	0.3917326676
190	0.3915313605
191	0.3913426402
192	0.3913186531
193	0.391021065
194	0.3908182299
195	0.3907151649
196	0.3905949967
197	0.3904093588
198	0.390228263
199	0.3901047451
200	0.3900205803
201	0.389892266
202	0.3898136623
203	0.3897157712
204	0.3895632176
205	0.3894575097
206	0.3893778559
207	0.3892166604
208	0.3890745466
209	0.3889233716
210	0.3888586926
211	0.3887521495
212	0.3886164247
213	0.3885213366
214	0.3883520543
215	0.3881010934
216	0.3879600274
217	0.3878549267
218	0.3877205075
219	0.3875870905
220	0.3874574783
221	0.3872113551
222	0.3870945994
223	0.3868724597
224	0.3866863529
225	0.3866056227
226	0.3865290139
227	0.3862371311
228	0.3860834376
229	0.3858664159
230	0.3856394404
231	0.385536784
232	0.3853728138
233	0.3851703558
234	0.3849799844
235	0.3848472746
236	0.384713888
237	0.3846368126
238	0.3844180023
239	0.3843230733
240	0.3841412406
241	0.3840128228
242	0.3839426094
243	0.383794204
244	0.3836547616
245	0.3835025494
246	0.383385321
247	0.3832226185
248	0.3830563625
249	0.3829671915
250	0.3828729606
251	0.3828019912
252	0.382574395
253	0.3824466324
254	0.3823167067
255	0.3820860903
256	0.3820246667
257	0.3818080144
258	0.3816180095
259	0.3815350085
260	0.3813234737
261	0.381201799
262	0.3810465758
263	0.3809209523
264	0.3806837088
265	0.3805925712
266	0.3805250248
267	0.3804037589
268	0.3803318607
269	0.3802382987
270	0.3801364166
271	0.3800579762
272	0.3799333921
273	0.3798154034
274	0.3797131977
275	0.379520764
276	0.3794652545
277	0.3793921039
278	0.3792607147
279	0.379147668
280	0.3789946716
281	0.3789082766
282	0.3787815948
283	0.3786074722
284	0.3786071514
285	0.3785795065
286	0.3784161342
287	0.3783354043
288	0.3782279671
289	0.3779769078
290	0.3778509852
291	0.3776571619
292	0.3775320617
293	0.3774401995
294	0.3773695638
295	0.377257809
296	0.377060713
297	0.3768876563
298	0.3767713583
299	0.3766074607
300	0.3764431005
301	0.3763064268
302	0.3762336819
303	0.3760510452
304	0.3759743519
305	0.3758745767
306	0.3757307045
307	0.3756311629
308	0.375500626
309	0.3754323014
310	0.3752567767
311	0.3751558181
312	0.3749901523
313	0.3748757363
314	0.374676209
315	0.3746101897
316	0.3745220182
317	0.374342005
318	0.3742226187
319	0.3741084953
320	0.3739575352
321	0.3739041545
322	0.3736962554
323	0.3736068227
324	0.3734779921
325	0.3733872361
326	0.3732025976
327	0.3730336841
328	0.3727924226
329	0.3727113049
330	0.3726214224
331	0.3724688601
332	0.3723700293
333	0.3720869933
334	0.3720121812
335	0.371854735
336	0.3717355589
337	0.3716328174
338	0.3715335313
339	0.3713995418
340	0.3713301956
341	0.3711986658
342	0.3709810043
343	0.3707968856
344	0.3707224949
345	0.3705571811
346	0.3705175372
347	0.3704519069
348	0.3703718679
349	0.3702174975
350	0.3700788447
351	0.3700216888
352	0.3698525725
353	0.3697055319
354	0.3695465877
355	0.3694348568
356	0.3692770345
357	0.3690423496
358	0.3689741047
359	0.3687842755
360	0.3686211429
361	0.36852218
362	0.3683748563
363	0.3682113099
364	0.3680634515
365	0.3679638331
366	0.3678946573
367	0.3676719312
368	0.3675537645
369	0.3674057987
370	0.3673299836
371	0.3671406176
372	0.3669145122
373	0.3668053907
374	0.3666785753
375	0.3665666036
376	0.3664013261
377	0.3662500006
378	0.3661242311
379	0.3660409448
380	0.3658995758
381	0.3657955732
382	0.3657279776
383	0.3656067139
384	0.3654278335
385	0.3653350156
386	0.3651446334
387	0.3650354819
388	0.3649497061
389	0.3647971722
390	0.3646414678
391	0.3644922111
392	0.3643870551
393	0.3642832092
394	0.364150832
395	0.3641497063
396	0.3639667245
397	0.3637932725
398	0.3636850749
399	0.3635990175
400	0.363520845
401	0.3634096367
402	0.3633123486
403	0.363110287
404	0.362992516
405	0.3629108628
406	0.3628302878
407	0.3626842637
408	0.3625778341
409	0.3625217577
410	0.3623920252
411	0.3622805187
412	0.3621131716
413	0.3620060879
414	0.3618552761
415	0.3617134717
416	0.36161322
417	0.3613939841
418	0.3613183204
419	0.361182799
420	0.3610846461
421	0.3609578338
422	0.3607844032
423	0.3605364072
424	0.3604726412
425	0.3602972608
426	0.3601694224
427	0.3600925327
428	0.3599309044
429	0.3597697302
430	0.3596246906
431	0.3594576515
432	0.3593073283
433	0.359181283
434	0.3590345262
435	0.3589584249
436	0.358847858
437	0.3587428953
438	0.3585837966
439	0.3584167147
440	0.3583224634
441	0.3581547988
442	0.3580426842
443	0.3579099843
444	0.3578064232
445	0.3577338144
446	0.3575473632
447	0.3573804827
