iter	Passed	Remaining
0	10	10709
1	20	10123
2	31	10512
3	38	9682
4	46	9216
5	52	8771
6	60	8561
7	66	8285
8	73	8122
9	80	7977
10	87	7852
11	93	7670
12	99	7583
13	107	7552
14	114	7490
15	121	7454
16	128	7402
17	134	7362
18	142	7362
19	149	7333
20	157	7353
21	164	7314
22	171	7299
23	178	7264
24	185	7234
25	192	7208
26	199	7183
27	208	7229
28	215	7200
29	223	7217
30	230	7209
31	238	7227
32	246	7228
33	255	7257
34	262	7227
35	269	7206
36	276	7185
37	283	7183
38	290	7159
39	298	7154
40	304	7131
41	311	7111
42	319	7115
43	327	7125
44	336	7146
45	344	7153
46	352	7141
47	358	7116
48	366	7111
49	373	7089
50	380	7079
51	387	7058
52	394	7046
53	400	7023
54	406	6989
55	415	7011
56	420	6956
57	427	6943
58	434	6934
59	441	6913
60	448	6903
61	456	6913
62	465	6915
63	471	6901
64	479	6903
65	487	6895
66	498	6943
67	506	6946
68	514	6947
69	527	7011
70	543	7110
71	563	7260
72	572	7274
73	580	7268
74	588	7256
75	596	7251
76	605	7253
77	613	7250
78	623	7263
79	630	7254
80	639	7254
81	647	7249
82	656	7249
83	666	7264
84	675	7269
85	683	7268
86	692	7263
87	701	7272
88	709	7265
89	719	7272
90	728	7279
91	739	7301
92	749	7307
93	757	7303
94	766	7306
95	773	7284
96	780	7268
97	787	7248
98	794	7230
99	802	7219
100	811	7225
101	819	7217
102	830	7235
103	839	7236
104	849	7241
105	859	7245
106	868	7247
107	878	7256
108	887	7252
109	895	7241
110	901	7222
111	909	7212
112	916	7193
113	923	7174
114	930	7164
115	938	7148
116	946	7140
117	953	7124
118	960	7113
119	969	7108
120	977	7102
121	986	7097
122	994	7093
123	1004	7096
124	1013	7095
125	1022	7094
126	1030	7087
127	1041	7092
128	1047	7070
129	1056	7072
130	1066	7075
131	1077	7082
132	1085	7078
133	1094	7072
134	1103	7071
135	1151	7312
136	1162	7325
137	1175	7343
138	1192	7385
139	1200	7377
140	1209	7366
141	1219	7369
142	1229	7369
143	1236	7352
144	1245	7344
145	1255	7345
146	1264	7338
147	1272	7328
148	1282	7325
149	1291	7320
150	1301	7315
151	1309	7304
152	1318	7298
153	1329	7302
154	1337	7291
155	1345	7281
156	1353	7269
157	1362	7259
158	1370	7246
159	1378	7236
160	1386	7224
161	1394	7216
162	1403	7208
163	1413	7203
164	1421	7195
165	1431	7189
166	1439	7180
167	1447	7167
168	1460	7179
169	1469	7173
170	1478	7167
171	1488	7166
172	1500	7172
173	1509	7166
174	1517	7155
175	1527	7151
176	1532	7124
177	1541	7117
178	1549	7108
179	1556	7088
180	1564	7079
181	1571	7064
182	1580	7056
183	1590	7053
184	1600	7050
185	1615	7069
186	1624	7063
187	1633	7056
188	1641	7044
189	1651	7040
190	1660	7034
191	1670	7028
192	1675	7004
193	1684	6999
194	1692	6986
195	1701	6978
196	1708	6964
197	1717	6957
198	1725	6944
199	1734	6936
200	1742	6927
201	1751	6919
202	1759	6906
203	1767	6898
204	1776	6889
205	1785	6882
206	1794	6874
207	1802	6862
208	1810	6851
209	1818	6840
210	1826	6829
211	1833	6816
212	1841	6804
213	1849	6792
214	1856	6778
215	1864	6768
216	1873	6758
217	1882	6751
218	1891	6746
219	1899	6733
220	1907	6724
221	1916	6715
222	1925	6707
223	1933	6698
224	1943	6695
225	1951	6684
226	1961	6681
227	1970	6671
228	1979	6664
229	1987	6654
230	1996	6644
231	2004	6636
232	2013	6628
233	2022	6621
234	2031	6613
235	2040	6606
236	2048	6595
237	2057	6586
238	2066	6581
239	2074	6570
240	2085	6569
241	2094	6560
242	2104	6555
243	2121	6573
244	2129	6563
245	2142	6568
246	2157	6577
247	2167	6572
248	2176	6565
249	2188	6564
250	2201	6570
251	2212	6567
252	2222	6561
253	2234	6562
254	2243	6555
255	2253	6550
256	2265	6550
257	2274	6541
258	2285	6539
259	2296	6535
260	2305	6526
261	2315	6521
262	2324	6513
263	2334	6507
264	2343	6499
265	2351	6490
266	2361	6483
267	2371	6476
268	2379	6466
269	2388	6458
270	2396	6447
271	2405	6439
272	2414	6430
273	2424	6424
274	2433	6415
275	2443	6409
276	2451	6398
277	2461	6392
278	2469	6382
279	2477	6371
280	2487	6364
281	2495	6355
282	2504	6346
283	2513	6336
284	2518	6317
285	2524	6301
286	2532	6290
287	2540	6281
288	2548	6270
289	2557	6260
290	2565	6249
291	2573	6241
292	2582	6232
293	2592	6224
294	2600	6215
295	2609	6206
296	2617	6195
297	2625	6185
298	2634	6175
299	2641	6164
300	2650	6155
301	2658	6144
302	2668	6138
303	2676	6127
304	2684	6117
305	2692	6106
306	2700	6096
307	2708	6085
308	2716	6075
309	2725	6066
310	2734	6058
311	2742	6048
312	2751	6038
313	2759	6029
314	2767	6019
315	2776	6009
316	2784	6000
317	2794	5992
318	2801	5981
319	2810	5972
320	2818	5962
321	2827	5952
322	2834	5941
323	2843	5933
324	2853	5926
325	2862	5918
326	2872	5912
327	2881	5903
328	2890	5896
329	2899	5887
330	2910	5881
331	2922	5881
332	2931	5872
333	2941	5864
334	2949	5854
335	2958	5847
336	2968	5839
337	2976	5829
338	2985	5820
339	2993	5810
340	3002	5801
341	3010	5791
342	3018	5781
343	3026	5770
344	3035	5762
345	3044	5754
346	3053	5746
347	3064	5742
348	3074	5734
349	3083	5726
350	3091	5716
351	3101	5708
352	3109	5698
353	3119	5693
354	3128	5684
355	3136	5674
356	3146	5666
357	3155	5658
358	3165	5652
359	3177	5648
360	3192	5650
361	3200	5641
362	3210	5634
363	3218	5623
364	3227	5615
365	3235	5604
366	3244	5595
367	3252	5586
368	3263	5581
369	3277	5580
370	3285	5571
371	3294	5561
372	3302	5551
373	3313	5545
374	3324	5540
375	3334	5534
376	3344	5527
377	3352	5516
378	3361	5508
379	3370	5499
380	3378	5488
381	3388	5481
382	3396	5471
383	3406	5463
384	3413	5453
385	3425	5448
386	3433	5438
387	3443	5431
388	3453	5424
389	3461	5414
390	3472	5407
391	3480	5398
392	3492	5394
393	3503	5388
394	3511	5377
395	3518	5365
396	3526	5355
397	3537	5350
398	3551	5349
399	3560	5341
400	3570	5333
401	3579	5325
402	3587	5314
403	3597	5306
404	3604	5295
405	3614	5288
406	3622	5278
407	3632	5270
408	3640	5260
409	3650	5252
410	3659	5243
411	3666	5233
412	3676	5226
413	3684	5215
414	3696	5210
415	3705	5201
416	3714	5193
417	3726	5187
418	3735	5179
419	3745	5171
420	3753	5162
421	3765	5157
422	3778	5154
423	3790	5148
424	3798	5139
425	3807	5130
426	3815	5119
427	3823	5109
428	3830	5098
429	3838	5088
430	3846	5078
431	3855	5068
432	3862	5058
433	3870	5047
434	3877	5036
435	3885	5026
436	3893	5015
437	3900	5005
438	3910	4996
439	3917	4986
440	3925	4975
441	3933	4966
442	3942	4957
443	3950	4947
444	3959	4937
445	3968	4929
446	3976	4919
447	3985	4910
448	3992	4899
449	4000	4889
450	4008	4879
451	4018	4871
452	4025	4860
453	4032	4850
454	4039	4838
455	4046	4827
456	4053	4816
457	4060	4804
458	4067	4793
459	4073	4782
460	4081	4772
461	4088	4760
462	4095	4750
463	4102	4739
464	4110	4728
465	4119	4720
466	4126	4709
467	4134	4699
468	4143	4691
469	4151	4682
470	4159	4672
471	4167	4662
472	4176	4652
473	4186	4645
474	4194	4636
475	4202	4625
476	4210	4616
477	4217	4605
478	4225	4596
479	4233	4586
480	4244	4579
481	4251	4569
482	4261	4561
483	4268	4550
484	4276	4541
485	4283	4530
486	4292	4521
487	4299	4511
488	4308	4502
489	4315	4491
490	4324	4483
491	4331	4472
492	4340	4463
493	4347	4453
494	4356	4444
495	4365	4436
496	4373	4426
497	4381	4417
498	4389	4407
499	4398	4398
500	4408	4391
501	4416	4381
502	4424	4372
503	4432	4362
504	4440	4352
505	4448	4342
506	4455	4332
507	4464	4323
508	4473	4314
509	4481	4305
510	4488	4295
511	4495	4284
512	4503	4275
513	4510	4264
514	4518	4255
515	4525	4244
516	4535	4237
517	4542	4226
518	4550	4217
519	4558	4207
520	4566	4198
521	4575	4189
522	4583	4179
523	4591	4170
524	4598	4160
525	4606	4150
526	4614	4141
527	4622	4132
528	4632	4124
529	4640	4115
530	4648	4106
531	4656	4096
532	4663	4086
533	4671	4076
534	4679	4067
535	4686	4057
536	4694	4047
537	4702	4038
538	4713	4031
539	4721	4022
540	4729	4012
541	4737	4003
542	4745	3994
543	4752	3983
544	4759	3973
545	4768	3964
546	4775	3955
547	4783	3945
548	4792	3936
549	4799	3926
550	4807	3917
551	4814	3907
552	4821	3897
553	4828	3887
554	4836	3877
555	4842	3867
556	4850	3857
557	4856	3846
558	4863	3836
559	4872	3828
560	4879	3818
561	4886	3808
562	4895	3799
563	4904	3791
564	4911	3781
565	4919	3772
566	4928	3763
567	4935	3754
568	4943	3744
569	4951	3735
570	4958	3725
571	4966	3715
572	4974	3707
573	4983	3698
